; Candidate function boundaries for /home/andrew/netgearr8000/v2-staging/firmware/brcmfmac43602-pcie.ap.bin
; Detection: Thumb-2 'push {..,lr}' prologue -> nearest following
; 'pop {..,pc}' or 'bx lr' epilogue (approx=1 means no clean
; epilogue was found before the next prologue; end offset is the
; next prologue's start as a fallback boundary).
; Total candidates: 1879
; offset_start   offset_end  size_bytes  approx
0x020dc0  0x02111c       860  0
0x02111c  0x021198       124  0
0x02119c  0x02124c       176  0
0x02124c  0x021436       490  0
0x02143c  0x021586       330  0
0x021586  0x02163c       182  0
0x02169c  0x021708       108  1
0x021708  0x02179c       148  0
0x0217a0  0x0218b0       272  1
0x0218b0  0x021a1e       366  0
0x021a24  0x021b0e       234  0
0x021b10  0x0220f8      1512  0
0x022144  0x022196        82  0
0x02219e  0x0222ec       334  0
0x0222ec  0x022424       312  0
0x02242a  0x022470        70  0
0x022494  0x022552       190  0
0x02255c  0x02259e        66  0
0x02259e  0x0225d2        52  0
0x0225de  0x022604        38  0
0x022608  0x02263c        52  0
0x022648  0x022690        72  0
0x0226b0  0x0227be       270  0
0x0227c4  0x0228c8       260  0
0x0228cc  0x022924        88  0
0x022924  0x02297c        88  0
0x02297c  0x0229aa        46  0
0x0229aa  0x022aa2       248  0
0x022aa2  0x022ac4        34  0
0x022ac4  0x022c26       354  0
0x022c30  0x022de8       440  0
0x022dec  0x022ef2       262  0
0x022ef2  0x022f70       126  0
0x022f70  0x022fa2        50  0
0x022fa8  0x0230a2       250  0
0x0230aa  0x02318a       224  0
0x023196  0x0231ea        84  0
0x0231ea  0x02329c       178  0
0x02329c  0x02348e       498  0
0x02348e  0x023532       164  1
0x023532  0x023618       230  0
0x023618  0x02368e       118  0
0x02368e  0x0238c4       566  0
0x0238c4  0x02397a       182  0
0x02397a  0x023aa8       302  0
0x023aa8  0x023d24       636  1
0x023d24  0x024214      1264  0
0x024218  0x0246f4      1244  0
0x0246f4  0x02492e       570  0
0x02493c  0x024a46       266  0
0x024a50  0x024a86        54  0
0x024a86  0x024af2       108  0
0x024af2  0x024c4c       346  0
0x024c4c  0x024dca       382  0
0x024dd0  0x024eac       220  1
0x024eac  0x025474      1480  0
0x025478  0x02560a       402  0
0x02560c  0x02588c       640  0
0x025894  0x0259f8       356  0
